CRD_OFFSET,Columbia River Datum offset
DHQ,Mean Diurnal High Water Inequality
DLQ,Mean Diurnal Low Water Inequality
DTL,Mean Diurnal Tide Level
GL_LWD,Great Lakes Lower Water Datum
GT,Great Diurnal Range
GUVD04,Guam Vertical Datum of 2004
HWI,Greenwich High Water Interval (in hours)
LWI,Greenwich Low Water Interval (in hours)
MHHW,Mean Higher-High Water
MHW,Mean High Water
MLLW,Mean Lower-Low Water
MLW,Mean Low Water
MN,Mean Range of Tide
MSL,Mean Sea Level
MTL,Mean Tide Level
NAVD88,North American Vertical Datum of 1988
PRVD02,Puerto Rico Vertical Datum of 2002
STND,Station Datum
VIVD09,Virgin Islands Vertical Datum of 2009
